name,module_id,icon,slug,position,is_protected,static,status
Dashboard,1,"fa fa-dashboard",dashboard,1,1,0,1
Users,3,"fa fa-user",users,2,1,0,1
Roles,4,"fa fa-edit",roles,3,1,0,1
Permissions,5,"fa fa-check-square-o",permissions,4,1,0,1
Modules,6,"fa fa-database",modules,5,1,0,1
Languages,7,"fa fa-comments-o",languages,6,1,0,1
Pages,8,"fa fa-wpforms",pages,7,1,0,1
Menus,9,"fa fa-th",menus,8,1,0,1
"Contact us",10,"fa fa-mail-forward",contactus,9,1,0,1
Notifications,11,"fa fa-bell",notifications,10,1,0,1
Settings,12,"fa fa-gears",settings,11,1,0,1
"Email Templates",13,"fa fa-glass",email-templates,12,0,0,1
"User Pets",14,"fa fa-glass",user-pets,13,0,0,1
"User Addresses",15,"fa fa-location-arrow",user-addresses,14,0,0,1
Petspaces,16,"fa fa-star-half",petspaces,15,0,0,1
Packages,17,"fa fa-bars",packages,16,0,0,1
"Package Sizes",18,"fa fa-list",package-sizes,17,0,0,1
"Package Types",19,"fa fa-list",package-types,18,0,0,1
"Package Addons",20,"fa fa-plus-circle",package-addons,19,0,0,1
Orders,21,"fa fa-glass",orders,20,0,0,1
Categories,22,"fa fa-th-list",categories,21,0,0,1
"Category Services",23,"fa fa-align-justify",category-services,22,0,0,1
"Submenu Lists",24,"fa fa-glass",submenu-lists,23,0,0,1
"Submenu Services",27,"fa fa-align-justify",submenu-services,24,0,0,1
"Petspace Technicians",28,"fa fa-user",petspace-technicians,25,0,0,1
"Order Services",29,"fa fa-glass",order-services,26,0,0,1
"Order Service Addons",30,"fa fa-glass",order-service-addons,27,0,0,1
"Order Progresses",31,"fa fa-signal",order-progresses,28,0,0,1
"Promo Codes",32,"fa fa-qrcode",promo-codes,29,0,0,1
"Banner Managements",33,"fa fa-image",banner-managements,30,0,0,1
"User Cards",34,"fa fa-credit-card",user-cards,31,0,0,1
Transactions,35,"fa fa-money",transactions,32,0,0,1
Promotions,36,"fa fa-check-circle-o",promotions,33,0,0,1
